Dates,Active-Count,CPU-Utilization,Total-Memory-Usage,Average-Temperature
12-08-2018 02:30,9014,17,42.13559873,34.18181818
12-08-2018 02:45,9207,17,42.13610665,34
12-08-2018 03:00,9344,18,42.13605021,33.45454545
12-08-2018 03:15,9556,17,42.13153537,33.54545455
12-08-2018 03:30,9801,18,42.13181755,33.63636364
12-08-2018 03:45,10006,21,42.19175206,34.81818182
12-08-2018 04:00,10277,20,42.13407497,34.81818182
12-08-2018 04:15,10427,21,42.13057597,34.63636364
12-08-2018 04:30,10388,22,42.11466116,33.72727273
12-08-2018 04:45,10670,21,42.08593548,35.09090909
12-08-2018 05:00,10774,23,42.07978401,35.18181818
12-08-2018 05:15,10866,21,42.07893748,34.45454545
12-08-2018 05:30,11002,23,42.07814738,35
12-08-2018 05:45,11069,23,42.07453551,35.27272727
12-08-2018 06:00,11213,23,42.06906126,36.45454545
12-08-2018 06:15,11254,21,42.06110386,35.63636364
12-08-2018 06:30,11318,22,42.06200682,34
12-08-2018 06:45,11377,21,42.0560811,35.54545455
12-08-2018 07:00,11351,22,42.05687119,34.54545455
12-08-2018 07:15,11424,20,42.06161178,34
12-08-2018 07:30,11497,23,42.06917413,34.90909091
12-08-2018 07:45,11450,22,42.06860978,34.27272727
12-08-2018 08:00,11401,22,42.06144247,33.45454545
12-08-2018 08:15,11296,21,42.05602466,35.27272727
12-08-2018 08:30,11264,22,42.05506526,34.63636364
12-08-2018 08:45,11288,23,42.05692763,33.90909091
12-08-2018 09:00,11221,23,42.05907218,35.27272727
12-08-2018 09:15,11196,22,42.05879,35.36363636
12-08-2018 09:30,11193,21,42.05574248,35.72727273
12-08-2018 09:45,11182,21,42.06076524,35.54545455
12-08-2018 10:00,11078,20,42.06008802,34.63636364
12-08-2018 10:15,11087,21,42.05596822,35.54545455
12-08-2018 10:30,11051,23,42.06031376,35.45454545
12-08-2018 10:45,11022,22,42.05478308,35.18181818
12-08-2018 11:00,10982,23,42.04343954,34.27272727
12-08-2018 11:15,10864,23,42.03203957,35.09090909
12-08-2018 11:30,10691,21,41.99659807,35.45454545
12-08-2018 11:45,10538,20,41.97718425,35.27272727
12-08-2018 12:00,10874,20,41.98378721,34.63636364
12-08-2018 12:15,10859,21,41.9853674,33.63636364
12-08-2018 12:30,10919,22,41.98119117,32.90909091
12-08-2018 12:45,10845,21,41.97402386,34.36363636
12-08-2018 13:00,10864,22,41.9793288,34.45454545
12-08-2018 13:15,10919,21,41.9594635,35.27272727
12-08-2018 13:30,11021,23,41.95647242,34.09090909
12-08-2018 13:45,11052,23,41.95704426,35.09090909
12-08-2018 14:00,11053,21,41.95422246,35.63636364
12-08-2018 14:15,11112,21,41.95055412,35.27272727
12-08-2018 14:30,11086,21,41.94965114,35.45454545
12-08-2018 14:45,11065,22,41.94592636,37.36363636
12-08-2018 15:00,11078,21,41.93887185,34.90909091
12-08-2018 15:15,11080,20,41.93921047,35
12-08-2018 15:30,11105,21,41.93729165,33.54545455
12-08-2018 15:45,10970,21,41.93463915,33.72727273
12-08-2018 16:00,10876,21,41.93469559,35.09090909
12-08-2018 16:15,10839,18,41.9336233,34.27272727
12-08-2018 16:30,10633,21,41.93621936,35.18181818
12-08-2018 16:45,10391,18,41.93373617,35.27272727
12-08-2018 17:00,10017,18,41.90704192,35.81818182
12-08-2018 17:15,9710,18,41.90060821,35.54545455
12-08-2018 17:30,9397,17,41.90196268,33.36363636
12-08-2018 17:45,8961,17,41.88610415,35.36363636
12-08-2018 18:00,8651,15,41.89586758,35.27272727
12-08-2018 18:15,8393,15,41.89772997,35.90909091
12-08-2018 18:30,8260,15,41.91928854,33.63636364
12-08-2018 18:45,8071,15,41.93571144,33.81818182
12-08-2018 19:00,7927,13,41.93621936,33.72727273
12-08-2018 19:15,7860,13,41.95952745,34.54545455
12-08-2018 19:30,7785,15,41.96460669,35.18181818
12-08-2018 19:45,7725,14,41.97493449,35.18181818
12-08-2018 20:00,7690,13,41.97871571,35.72727273
12-08-2018 20:15,7654,13,41.98362564,35.72727273
12-08-2018 20:30,7606,14,41.99316334,32.54545455
12-08-2018 20:45,7596,13,41.99671881,35.36363636
12-08-2018 21:00,7522,14,42.05467863,34.54545455
12-08-2018 21:15,7498,14,41.99869407,35
12-08-2018 21:30,7458,13,41.99959705,33.72727273
12-08-2018 21:45,7459,11,42.00038715,35
12-08-2018 22:00,7462,12,41.9979604,35.36363636
12-08-2018 22:15,7412,12,41.9971703,35.27272727
12-08-2018 22:30,7397,13,41.99762178,34.63636364
12-08-2018 22:45,7391,14,42.05518656,34.54545455
12-08-2018 23:00,7400,15,41.99773466,33.45454545
12-08-2018 23:15,7384,14,41.9979604,32.63636364
12-08-2018 23:30,7362,13,41.99824258,33.54545455
12-08-2018 23:45,7398,13,41.99564652,35.27272727
13-08-2018 00:00,7411,14,41.99959705,35.09090909
13-08-2018 00:15,7400,14,41.99835545,34.81818182
13-08-2018 00:30,7453,15,41.99841189,35.36363636
13-08-2018 00:45,7599,14,41.9971703,35.36363636
13-08-2018 01:00,7726,12,41.99700099,35.36363636
13-08-2018 01:15,7896,15,41.99361483,35.72727273
13-08-2018 01:30,8101,15,41.99011579,32.18181818
13-08-2018 01:45,8263,16,41.98672963,35.18181818
13-08-2018 02:00,8478,16,41.9827791,35.27272727
13-08-2018 02:15,8608,16,41.97905432,35.18181818
13-08-2018 02:30,8866,17,41.97922363,33.63636364
13-08-2018 02:45,9166,17,41.97538598,33.81818182
13-08-2018 03:00,9476,18,41.9751038,35.18181818
13-08-2018 03:15,9746,19,41.97555529,35.18181818
13-08-2018 03:30,10101,20,41.97628896,35.09090909
13-08-2018 03:45,10657,23,42.00083864,33
13-08-2018 04:00,11366,26,41.93881542,33.54545455
13-08-2018 04:15,12169,41,41.945362,33.81818182
13-08-2018 04:30,13610,30,41.95546405,34.18181818
13-08-2018 04:45,13610,31,41.95687496,35.27272727
13-08-2018 05:00,14183,30,42.14418621,35.72727273
13-08-2018 05:15,14545,41,42.07144014,34.27272727
13-08-2018 05:30,14897,54,42.08679075,33.63636364
13-08-2018 05:45,15115,32,42.11924148,34.90909091
13-08-2018 06:00,15102,32,42.12048307,34.63636364
13-08-2018 06:15,15187,31,42.39216622,35.36363636
13-08-2018 06:30,15280,33,42.132899,35.63636364
13-08-2018 06:45,15343,33,42.25871881,36
13-08-2018 07:00,15268,33,42.2338305,34.72727273
13-08-2018 07:15,15337,31,42.15544078,34.90909091
13-08-2018 07:30,15419,31,42.13557528,33.72727273
13-08-2018 07:45,15287,31,42.13557528,33.7
13-08-2018 08:00,15223,31,42.13557528,33.7
13-08-2018 08:15,15123,30,42.11503254,34.90909091
13-08-2018 08:30,15228,28,42.16159231,34.45454545
13-08-2018 08:45,15285,28,42.13151188,33.81818182
13-08-2018 09:00,15285,28,42.10668,34.54545455
13-08-2018 09:15,15285,27,42.12761779,34
13-08-2018 09:30,15285,28,42.28824359,35.45454545
13-08-2018 09:45,15285,27,42.31989553,35.45454545
13-08-2018 10:00,15285,26,42.03353884,36.09090909
13-08-2018 10:15,15285,29,42.2646446,35.27272727
13-08-2018 10:30,15285,28,42.16898544,34.63636364
13-08-2018 10:45,15285,28,42.14832983,34.36363636
13-08-2018 11:00,15285,28,42.20733815,35.27272727
13-08-2018 11:15,15285,27,42.17310527,35.54545455
13-08-2018 11:30,15285,29,42.19370444,34.72727273
13-08-2018 11:45,15285,29,42.24455335,36.54545455
13-08-2018 12:30,13426,26,41.99183257,34.36363636
13-08-2018 12:45,13426,26,41.99160683,34.09090909
13-08-2018 13:00,13069,23,41.9925098,34.36363636
13-08-2018 13:15,12713,26,42.00419207,34.27272727
13-08-2018 13:30,12579,25,42.00870696,35.81818182
13-08-2018 13:45,12410,24,42.01322987,35.36363636
13-08-2018 14:00,12293,23,42.0325312,36.27272727
13-08-2018 14:15,12342,24,42.0354659,35.81818182
13-08-2018 14:30,12227,21,42.03597383,34.81818182
